----------------------------------------------------------
| No | Owners: 8 | QuarterNo: 2 | To pay |
---------------------------------------------------------- 
	April, 01 | May, 01 | June, 01 | 		
---------------------------------------------------------- 
 | 1 | Pashko | 2851 | 2934 | 3030 | 32.22 | 

 | 2 | Smith | 2834 | 2922 | 3028 | 34.92 | 

 | 3 | Bonn | 2950 | 3278 | 3456 | 91.08 | 

 | 4 | Tkach | 2671 | 2671 | 2671 | 0 | 

 | 5 | Nowak | 2760 | 2861 | 3012 | 45.36 | 

 | 6 | Bing | 3795 | 3890 | 3970 | 31.5 | 

 | 7 | Tord | 3678 | 3970 | 4051 | 67.14 | 

 | 8 | Nell | 3895 | 4024 | 4326 | 77.58 | 


